1	Well, I know that they want to try them in our regular court systems, and I don't like that at all. I don't like that at all. I would say they could be tried there, that would be fine.	I would say they could be tried there, that would be fine,	OMISSION
2	From disease protection to improving management of global food shocks, these research projects will help tackle the serious threat of food shortages. Supporting these exciting and innovative solutions will help the UK food industry be better prepared for external factors and help provide food security to millions around the world.	These exciting and innovative solutions will help the UK food industry be better prepared for external factors and help provide food security to millions around the world.	OMISSION
3	He isn't interested. "I'm usually not the type of director who cashes in on the success of a film with a sequel. I don't think I'm interested to direct the sequel, even if I'm offered".	he isn't interested	OMISSION
4	He isn't interested. "I'm usually not the type of director who cashes in on the success of a film with a sequel. I don't think I'm interested to direct the sequel, even if I'm offered".	I'm usually not the type of director who cashes in on the success of a film with a sequel. I don't think I'm interested to direct the sequel, even if I'm offered,	SAME
5	Over the past several quarters, our team has been actively addressing our inventory, expense and capital, and in the second quarter, made substantial progress by bringing down inventory in-line with sales. Those efforts, along with the strength of our Anniversary Sale and a great response from customers to that event, drove better than expected results for the second quarter.	Over the past several quarters, our team has been actively addressing our inventory, expense and capital, and in the second quarter, made substantial progress by bringing down inventory in-line with sales,	OMISSION
6	Vargas isn't a good match for Pacquiao saying Terence Crawford is the better fighter and a good match for Pacquiao. Vargas is not a puncher. He was able to hurt Timothy Bradley and scored a knockout in his last fight. You see the 10 knockouts and he's just not a puncher in either of the weight classes where he's campaigned. Terence Crawford is not only a superior boxer but he can also bang if you come right at him.	Vargas is not a puncher. He was able to hurt Timothy Bradley and scored a knockout in his last fight. You see the 10 knockouts and he's just not a puncher in either of the weight classes where he's campaigned. Terence Crawford is not only a superior boxer but he can also bang if you come right at him.	SAME
7	Speaking at press conference in Dar es Salaam today.	Speaking at press conference in Dar es Salaam	SAME
8	Reduction of maternal mortality was doable, if the country paid more attention to access to health facilities, and human resources to run them.	reduction of maternal mortality was doable, if the country paid more attention to access to health facilities, and human resources	SAME
9	He believed the protesters weren't happy about prisoners getting to see a show. "They didn't want to see good things happen for what they consider to be bad people, when in truth, they're just people".	They didn't want to see good things happen for what they consider to be bad people, when in truth, they're just people,	OMISSION
10	"It's a matter of happiness that all parties have spoken in one voice on Jammu and Kashmir. I am grateful to all political parties for raising concerns with regard to prevailing situation in J&K". Cross-border terrorism supported by Pakistan as the root cause of turbulence in the valley.	cross-border terrorism supported by Pakistan as the root cause of turbulence in the valley	OMISSION
