"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input_row_index","Input_ref_statement","Input_ref_title","Input_ref_url","Input_target_statement","Input_target_title","Input_target_url","Input_media_source","Input_relation_type","Answer_Category","Approve","Reject"
"3S829FDFT21N5O4A9QYZ1DPNJ6UXDQ","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3C6FJU71TQU18F3ZQJFSIBV4O20UYO","A1W8FA5GSFY60C","Approved","Mon Aug 22 03:53:46 PDT 2016","Mon Aug 22 03:53:59 PDT 2016","Sat Aug 27 03:53:59 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","13","100% (36/36)","100% (36/36)","100% (36/36)","191","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review.","Garfunkel's owner ousts boss and replaces him with former Paddy Power head.","http://www.ibtimes.co.uk/garfunkels-owner-ousts-boss-replaces-him-former-paddy-power-head-1575680","The Restaurant Group","CONTAINS","omission"
"3S829FDFT21N5O4A9QYZ1DPNJ6UXDQ","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3DH6GAKTYYQIUEX9W6E0Z3AJQKAYZC","A166A2M31CW2C7","Approved","Mon Aug 22 02:09:35 PDT 2016","Mon Aug 22 02:11:19 PDT 2016","Sat Aug 27 02:11:19 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","104","100% (229/229)","100% (229/229)","100% (229/229)","191","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review.","Garfunkel's owner ousts boss and replaces him with former Paddy Power head.","http://www.ibtimes.co.uk/garfunkels-owner-ousts-boss-replaces-him-former-paddy-power-head-1575680","The Restaurant Group","CONTAINS","omission"
"3S829FDFT21N5O4A9QYZ1DPNJ6UXDQ","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3TY7ZAOG5FLQ8O22OX0HKWSMAYMK0F","AIQB7XXL5K2FR","Approved","Mon Aug 22 03:24:18 PDT 2016","Mon Aug 22 03:25:13 PDT 2016","Sat Aug 27 03:25:13 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","55","100% (70/70)","100% (60/60)","100% (60/60)","191","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review.","Garfunkel's owner ousts boss and replaces him with former Paddy Power head.","http://www.ibtimes.co.uk/garfunkels-owner-ousts-boss-replaces-him-former-paddy-power-head-1575680","The Restaurant Group","CONTAINS","omission"
"3S829FDFT21N5O4A9QYZ1DPNJ6UXDQ","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3YJ6NA41JBHYLL04NXFVYITH3HWJPK","A4ZPIPBDO624H","Approved","Mon Aug 22 02:24:54 PDT 2016","Mon Aug 22 02:25:09 PDT 2016","Sat Aug 27 02:25:09 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","15","100% (87/87)","100% (87/87)","100% (87/87)","191","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review.","Garfunkel's owner ousts boss and replaces him with former Paddy Power head.","http://www.ibtimes.co.uk/garfunkels-owner-ousts-boss-replaces-him-former-paddy-power-head-1575680","The Restaurant Group","CONTAINS","omission"
"3S829FDFT21N5O4A9QYZ1DPNJ6UXDQ","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3YW4XOSQKQM4I9SWEU8J4OKUHHQ1UW","A1Z7QTDFX7ZM2O","Approved","Mon Aug 22 03:13:00 PDT 2016","Mon Aug 22 03:13:10 PDT 2016","Sat Aug 27 03:13:10 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","10","100% (63/63)","100% (63/63)","100% (63/63)","191","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review.","Garfunkel's owner ousts boss and replaces him with former Paddy Power head.","http://www.ibtimes.co.uk/garfunkels-owner-ousts-boss-replaces-him-former-paddy-power-head-1575680","The Restaurant Group","CONTAINS","same"
"34D9ZRXCYRUHB0FZV61AC40PJOVSAB","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","37TD41K0AHA8QZAQ5M236JLX0HXCSI","A3P7M9666KJCP","Approved","Mon Aug 22 03:48:36 PDT 2016","Mon Aug 22 03:49:16 PDT 2016","Sat Aug 27 03:49:16 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","40","100% (66/66)","100% (66/66)","100% (66/66)","192","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#44;","UK's Restaurant Group ousts chief executive.","https://uk.finance.yahoo.com/news/uks-restaurant-group-ousts-chief-065648143.html","The Restaurant Group","CONTAINS","omission"
"34D9ZRXCYRUHB0FZV61AC40PJOVSAB","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3C5W7UE9CFRTV28GCL248N719AZMXE","A4ZPIPBDO624H","Approved","Mon Aug 22 02:15:38 PDT 2016","Mon Aug 22 02:15:50 PDT 2016","Sat Aug 27 02:15:50 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","12","100% (87/87)","100% (87/87)","100% (87/87)","192","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#44;","UK's Restaurant Group ousts chief executive.","https://uk.finance.yahoo.com/news/uks-restaurant-group-ousts-chief-065648143.html","The Restaurant Group","CONTAINS","omission"
"34D9ZRXCYRUHB0FZV61AC40PJOVSAB","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3RGU30DZTA9S0I3RVHN3HEZMYCPMJV","A1DZLZE63NE1ZI","Approved","Mon Aug 22 04:07:09 PDT 2016","Mon Aug 22 04:12:18 PDT 2016","Sat Aug 27 04:12:18 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","309","100% (298/298)","100% (298/298)","100% (298/298)","192","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#44;","UK's Restaurant Group ousts chief executive.","https://uk.finance.yahoo.com/news/uks-restaurant-group-ousts-chief-065648143.html","The Restaurant Group","CONTAINS","same"
"34D9ZRXCYRUHB0FZV61AC40PJOVSAB","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3TAYZSBPLL9VSHIO8TDXU6CBOQLS2Q","A2BO8M77CS3SGZ","Approved","Mon Aug 22 04:09:01 PDT 2016","Mon Aug 22 04:09:23 PDT 2016","Sat Aug 27 04:09:23 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","22","100% (268/268)","100% (268/268)","100% (268/268)","192","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#44;","UK's Restaurant Group ousts chief executive.","https://uk.finance.yahoo.com/news/uks-restaurant-group-ousts-chief-065648143.html","The Restaurant Group","CONTAINS","omission"
"34D9ZRXCYRUHB0FZV61AC40PJOVSAB","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Mon Aug 22 02:04:37 PDT 2016","5","BatchId:2504317;","14400","432000","Mon Aug 29 02:04:37 PDT 2016","","","3X65QVEQI0OLMMF0LD52UX728NPLCD","A384DW1A7HI9Z7","Approved","Mon Aug 22 03:53:55 PDT 2016","Mon Aug 22 03:54:03 PDT 2016","Sat Aug 27 03:54:03 PDT 2016","Mon Aug 22 12:30:49 PDT 2016","","","8","100% (135/135)","100% (135/135)","100% (135/135)","192","Danny Breithaupt will step down with immediate effect&#44; with former bookie boss Andy McCue taking the top job. &#34;The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#34;.","Frankie & Benny's owner ousts chief for ex-boss of Paddy Power.","http://www.belfasttelegraph.co.uk/business/news/frankie-bennys-owner-ousts-chief-for-exboss-of-paddy-power-34959580.html","The board has completed the initial phase of the operating strategy review&#44; and has decided that a new leader is needed to implement the initial actions and then prioritise the next phase of the review&#44;","UK's Restaurant Group ousts chief executive.","https://uk.finance.yahoo.com/news/uks-restaurant-group-ousts-chief-065648143.html","The Restaurant Group","CONTAINS","omission"
