index	form	lemma	signature	pos	framename	frameID	origin
0			(in/out) line.n	n	Compliance	117	FN
1	's	be_supposed	be_supposed_(to).v	v	Required_event	1381	training
2	's	there be	there be.v	v	Existence	660	training
3	's got	have got	have got.v	v	Possession	118	training
4	've	have got	have got.v	v	Possession	118	training
5	've got	have got	have got.v	v	Possession	118	training
6	-related	related	related.a	a	Cognitive_connection	720	training
7	1,000	1000	1000.num	num	Cardinal_numbers	218	training
8	10	ten	ten.num	num	Cardinal_numbers	218	training
9	100	hundred	hundred.num	num	Cardinal_numbers	218	training
10	1000	1000	1000.num	num	Cardinal_numbers	218	FN
11	1000	1000	1000.num	num	Cardinal_numbers	218	training
12	12	twelve	twelve.num	num	Cardinal_numbers	218	training
13	1200	1200	1200.num	num	Cardinal_numbers	218	FN
14	1200	1200	1200.num	num	Cardinal_numbers	218	training
15	13th	thirteenth	thirteenth.a	a	Ordinal_numbers	1147	training
16	14	fourteen	fourteen.n	n	Cardinal_numbers	218	training
17	15	fifteen	fifteen.num	num	Cardinal_numbers	218	training
18	19th	nineteenth	nineteenth.a	a	Ordinal_numbers	1147	training
19	2	two	two.num	num	Cardinal_numbers	218	training
20	20	twenty	twenty.num	num	Cardinal_numbers	218	training
21	200	two hundred	two hundred.num	num	Cardinal_numbers	218	training
22	21	twenty-one	twenty-one.num	num	Cardinal_numbers	218	training
23	25	twenty-five	twenty-five.num	num	Cardinal_numbers	218	training
24	2nd	second	second.a	a	Ordinal_numbers	1147	training
25	3	three	three.num	num	Cardinal_numbers	218	training
26	30	thirty	thirty.num	num	Cardinal_numbers	218	training
27	4	four	four.num	num	Cardinal_numbers	218	training
28	40	forty	forty.num	num	Cardinal_numbers	218	training
29	400	400	400.num	num	Cardinal_numbers	218	FN
30	450	450	450.num	num	Cardinal_numbers	218	FN
31	50	fifty	fifty.num	num	Cardinal_numbers	218	training
32	500	five hundred	five hundred.num	num	Cardinal_numbers	218	training
33	52	fifty-two	fifty-two.num	num	Cardinal_numbers	218	training
34	60	sixty	sixty.num	num	Cardinal_numbers	218	training
35	6500	6500	6500.num	num	Cardinal_numbers	218	FN
36	70	seventy	seventy.num	num	Cardinal_numbers	218	training
37	90	ninety	ninety.num	num	Cardinal_numbers	218	training
38	AIDS	AIDS	AIDS.n	n	Medical_conditions	239	FN
39	AK-47	AK-47	AK-47.n	n	Weapon	426	FN
40	Alzheimer's	Alzheimer's	Alzheimer's.n	n	Medical_conditions	239	FN
41	American	American	American.n	n	People_by_origin	974	FN
42	American	American	American_(N_and_S_Am).n	n	People_by_origin	974	FN
43	April	April	April.n	n	Calendric_unit	229	FN
44	April Fool's Day	April Fool's Day	April Fool's Day.n	n	Commemorative	261	FN
45	Armistice Day	Armistice Day	Armistice Day.n	n	Commemorative	261	FN
46	August	August	August.n	n	Calendric_unit	229	FN
47	BW	BW	BW.n	n	Weapon	426	FN
48	Boxing Day	Boxing Day	Boxing Day.n	n	Commemorative	261	FN
49	Brit	Brit	Brit.n	n	People_by_origin	974	FN
50	Bumblefuck	Bumblefuck	Bumblefuck.n	n	Isolated_places	420	FN
51	CEO	CEO	CEO.n	n	Leadership	73	FN
52	CW	CW	CW.n	n	Weapon	426	FN
53	Californian	Californian	Californian.n	n	People_by_origin	974	FN
54	Chicagoan	Chicagoan	Chicagoan.n	n	People_by_origin	974	FN
55	Christian name	Christian name	Christian name.n	n	Being_named	228	FN
56	Christmas Day	Christmas Day	Christmas Day.n	n	Commemorative	261	FN
57	December	December	December.n	n	Calendric_unit	229	FN
58	Denverite	Denverite	Denverite.n	n	People_by_origin	974	FN
59	Dubliner	Dubliner	Dubliner.n	n	People_by_origin	974	FN
60	English	English	English.n	n	People_by_origin	974	FN
61	February	February	February.n	n	Calendric_unit	229	FN
62	Frenchman	Frenchman	Frenchman.n	n	People_by_origin	974	FN
63	Frenchwoman	Frenchwoman	Frenchwoman.n	n	People_by_origin	974	FN
64	Frenchy	Frenchy	Frenchy.n	n	People_by_origin	974	FN
65	Friday	Friday	Friday.n	n	Calendric_unit	229	FN
66	German measles	German measles	German measles.n	n	Medical_conditions	239	FN
67	Greek	Greek	Greek.n	n	People_by_origin	974	FN
68	Indian	Indian	Indian((American)).n	n	People_by_origin	974	FN
69	Iranian	Iranian	Iranian.n	n	People_by_origin	974	FN
70	Irish	Irish	Irish.n	n	People_by_origin	974	FN
71	January	January	January.n	n	Calendric_unit	229	FN
72	July	July	July.n	n	Calendric_unit	229	FN
73	June	June	June.n	n	Calendric_unit	229	FN
74	Kraut	Kraut	Kraut.n	n	People_by_origin	974	FN
75	LSD	LSD	LSD.n	n	Intoxicants	390	FN
76	Labor Day	Labor Day	Labor Day.n	n	Commemorative	261	FN
77	March	March	March.n	n	Calendric_unit	229	FN
78	May	May	May.n	n	Calendric_unit	229	FN
79	Mexican	Mexican	Mexican.n	n	People_by_origin	974	FN
80	Monday	Monday	Monday.n	n	Calendric_unit	229	FN
81	New Yorker	New Yorker	New Yorker.n	n	People_by_origin	974	FN
82	November	November	November.n	n	Calendric_unit	229	FN
83	October	October	October.n	n	Calendric_unit	229	FN
84	Passover Eve	Passover Eve	Passover Eve.n	n	Commemorative	261	FN
85	Persian	Persian	Persian.n	n	People_by_origin	974	FN
86	Podunk	Podunk	Podunk.n	n	Isolated_places	420	FN
87	Saturday	Saturday	Saturday.n	n	Calendric_unit	229	FN
88	Scud-B	Scud-B	Scud-B.n	n	Weapon	426	FN
89	Scud-B missile	Scud-B missile	Scud-B missile.n	n	Weapon	426	FN
90	Scud-C missile	Scud-C missile	Scud-C missile.n	n	Weapon	426	FN
91	September	September	September.n	n	Calendric_unit	229	FN
92	Sunday	Sunday	Sunday.n	n	Calendric_unit	229	FN
93	TV room	TV room	TV room.n	n	Building_subparts	188	FN
94	Thursday	Thursday	Thursday.n	n	Calendric_unit	229	FN
95	Tuesday	Tuesday	Tuesday.n	n	Calendric_unit	229	FN
96	Turk	Turk	Turk.n	n	People_by_origin	974	FN
97	WMD	WMD	WMD.n	n	Weapon	426	FN
98	Wednesday	Wednesday	Wednesday.n	n	Calendric_unit	229	FN
99	a	a bit	a bit.a	a	Quantity	189	training
100	a	a few	a few.art	art	Quantity	189	training
101	a	a lot	a lot.n	n	Quantity	189	training
102	a	a while	a while.n	n	Measure_duration	224	training
103	a	come to a end	come to a end.v	v	Process_end	232	training
104	a bastard	a bastard	a bastard.n	n	Difficulty	375	FN
105	a bit	a bit	a bit.a	a	Quantity	189	FN
