"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input_row_index","Input_ref_statement","Input_ref_title","Input_ref_url","Input_target_statement","Input_target_title","Input_target_url","Input_media_source","Input_relation_type","Answer_Category","Approve","Reject"
"378G7J1SJLYD8UDKVGDX5CT1C1GEW6","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","38YMOXR4MU0CHZIYF0Z1H8W8FOZW67","A1V6P1ZE6Q8YEW","Approved","Tue Sep 13 05:08:32 PDT 2016","Tue Sep 13 05:22:54 PDT 2016","Sun Sep 18 05:22:54 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","862","100% (216/216)","100% (216/216)","100% (207/207)","391","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","The bombs are an attempt to create chaos and confusion. We should not make people panic more.","Four dead as string of blasts hit Thai tourist resorts.","http://www.nst.com.my/news/2016/08/165013/four-dead-string-blasts-hit-thai-tourist-resorts","Prime Minister&#44; Thailand","CONTAINS","omission"
"378G7J1SJLYD8UDKVGDX5CT1C1GEW6","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3CPLWGV3MO09COBIL6BQ5ZAJCDX9NY","A1F4D2PZ7NNWTL","Approved","Tue Sep 13 04:57:12 PDT 2016","Tue Sep 13 04:57:19 PDT 2016","Sun Sep 18 04:57:19 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","7","100% (417/417)","100% (417/417)","100% (417/417)","391","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","The bombs are an attempt to create chaos and confusion. We should not make people panic more.","Four dead as string of blasts hit Thai tourist resorts.","http://www.nst.com.my/news/2016/08/165013/four-dead-string-blasts-hit-thai-tourist-resorts","Prime Minister&#44; Thailand","CONTAINS","omission"
"378G7J1SJLYD8UDKVGDX5CT1C1GEW6","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3KMS4QQVK2RH5SHSRFJ2N3FQLH4FKA","A2XFO0X6RCS98M","Approved","Tue Sep 13 05:27:02 PDT 2016","Tue Sep 13 05:29:03 PDT 2016","Sun Sep 18 05:29:03 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","121","100% (469/469)","100% (469/469)","100% (469/469)","391","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","The bombs are an attempt to create chaos and confusion. We should not make people panic more.","Four dead as string of blasts hit Thai tourist resorts.","http://www.nst.com.my/news/2016/08/165013/four-dead-string-blasts-hit-thai-tourist-resorts","Prime Minister&#44; Thailand","CONTAINS","same"
"378G7J1SJLYD8UDKVGDX5CT1C1GEW6","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3NC5L260MON0VJ27P7BVUKWZ5L4FOI","A3GLUDQZGEJL5G","Approved","Tue Sep 13 05:09:29 PDT 2016","Tue Sep 13 05:12:01 PDT 2016","Sun Sep 18 05:12:01 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","152","100% (165/165)","100% (150/150)","100% (148/148)","391","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","The bombs are an attempt to create chaos and confusion. We should not make people panic more.","Four dead as string of blasts hit Thai tourist resorts.","http://www.nst.com.my/news/2016/08/165013/four-dead-string-blasts-hit-thai-tourist-resorts","Prime Minister&#44; Thailand","CONTAINS","omission"
"378G7J1SJLYD8UDKVGDX5CT1C1GEW6","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3PH3VY7DJLYE5929H5WCE6P3KSUZWZ","AOHR3NW1NV23F","Approved","Tue Sep 13 05:04:29 PDT 2016","Tue Sep 13 05:04:39 PDT 2016","Sun Sep 18 05:04:39 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","10","100% (136/136)","100% (114/114)","100% (104/104)","391","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","The bombs are an attempt to create chaos and confusion. We should not make people panic more.","Four dead as string of blasts hit Thai tourist resorts.","http://www.nst.com.my/news/2016/08/165013/four-dead-string-blasts-hit-thai-tourist-resorts","Prime Minister&#44; Thailand","CONTAINS","same"
"3T2EL38U0MKHUX8FEC4J1CWM46AQXN","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","33FOTY3KEMM8WFBWS3NJAIYOFYD1CJ","A2R0YYUAWNT7UD","Approved","Tue Sep 13 05:28:00 PDT 2016","Tue Sep 13 06:18:44 PDT 2016","Sun Sep 18 06:18:44 PDT 2016","Wed Sep 14 07:53:57 PDT 2016","","","3044","100% (282/282)","100% (282/282)","100% (242/242)","392","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#44;","4 Dead In Serial Blasts At Thai Resorts&#44; Many Tourists Injured.","http://nna-leb.gov.lb/en/show-news/66789/","Prime Minister&#44; Thailand","CONTAINS","omission"
"3T2EL38U0MKHUX8FEC4J1CWM46AQXN","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","34YB12FSQYPI9GDQNB20K176B1XGMD","A2XFO0X6RCS98M","Approved","Tue Sep 13 05:24:02 PDT 2016","Tue Sep 13 05:25:42 PDT 2016","Sun Sep 18 05:25:42 PDT 2016","Wed Sep 14 07:53:57 PDT 2016","","","100","100% (469/469)","100% (469/469)","100% (469/469)","392","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#44;","4 Dead In Serial Blasts At Thai Resorts&#44; Many Tourists Injured.","http://nna-leb.gov.lb/en/show-news/66789/","Prime Minister&#44; Thailand","CONTAINS","omission"
"3T2EL38U0MKHUX8FEC4J1CWM46AQXN","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","39ASUFLU6X8VJEG3VNELVF2S5P5EXH","A3GLUDQZGEJL5G","Approved","Tue Sep 13 05:28:30 PDT 2016","Tue Sep 13 05:29:24 PDT 2016","Sun Sep 18 05:29:24 PDT 2016","Wed Sep 14 07:53:57 PDT 2016","","","54","100% (165/165)","100% (150/150)","100% (148/148)","392","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#44;","4 Dead In Serial Blasts At Thai Resorts&#44; Many Tourists Injured.","http://nna-leb.gov.lb/en/show-news/66789/","Prime Minister&#44; Thailand","CONTAINS","same"
"3T2EL38U0MKHUX8FEC4J1CWM46AQXN","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3II4UPYCOJ86IB1RDE89VPOE8AGQD2","A3G00Q5JV2BE5G","Approved","Tue Sep 13 05:27:16 PDT 2016","Tue Sep 13 05:28:13 PDT 2016","Sun Sep 18 05:28:13 PDT 2016","Wed Sep 14 07:53:57 PDT 2016","","","57","100% (129/129)","100% (129/129)","100% (129/129)","392","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#44;","4 Dead In Serial Blasts At Thai Resorts&#44; Many Tourists Injured.","http://nna-leb.gov.lb/en/show-news/66789/","Prime Minister&#44; Thailand","CONTAINS","same"
"3T2EL38U0MKHUX8FEC4J1CWM46AQXN","3JIWCCCTXOMXXP4IQ4QG146VEI333T","Judge if a sentence is less informative than the original","Two similar short texts, determine whether one is less informative","omission, missing information","$0.05","Tue Sep 13 04:41:00 PDT 2016","5","BatchId:2526319;","14400","432000","Tue Sep 20 04:41:00 PDT 2016","","","3R3YRB5GRF40CX5WAD1CFPDXQRKAUI","A1F4D2PZ7NNWTL","Approved","Tue Sep 13 05:18:03 PDT 2016","Tue Sep 13 05:18:07 PDT 2016","Sun Sep 18 05:18:07 PDT 2016","Wed Sep 14 07:53:56 PDT 2016","","","4","100% (417/417)","100% (417/417)","100% (417/417)","392","&#34;The bombs are an attempt to create chaos and confusion. We should not make people panic more&#34;. &#34;Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#34;.","Four dead as string of blasts hit Thai tourist resorts.","http://www.chinapost.com.tw/asia/thailand/2016/08/12/475261/Four-dead.htm","Why have the bombs occurred as our country is heading towards stability&#44; a better economy and tourism -- and who did it? You have to find out&#44;","4 Dead In Serial Blasts At Thai Resorts&#44; Many Tourists Injured.","http://nna-leb.gov.lb/en/show-news/66789/","Prime Minister&#44; Thailand","CONTAINS","omission"
